Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
EC2V,Two Bedrooms,0,.,.,.,.,.
EC2V,Three Bedrooms,0,.,.,.,.,.
EC2V,Four or More Bedrooms,0,.,.,.,.,.
EC2Y,Room,0,.,.,.,.,.
EC2Y,Studio,-,..,..,..,..,..
EC2Y,One Bedroom,-,..,..,..,..,..
EC2Y,Two Bedrooms,-,..,..,..,..,..
EC2Y,Three Bedrooms,-,..,..,..,..,..
EC2Y,Four or More Bedrooms,0,.,.,.,.,.
EC3A,Room,0,.,.,.,.,.
EC3A,Studio,0,.,.,.,.,.
EC3A,One Bedroom,0,.,.,.,.,.
EC3A,Two Bedrooms,0,.,.,.,.,.
EC3A,Three Bedrooms,0,.,.,.,.,.
EC3A,Four or More Bedrooms,0,.,.,.,.,.
EC3B,Room,0,.,.,.,.,.
EC3B,Studio,0,.,.,.,.,.
EC3B,One Bedroom,0,.,.,.,.,.
EC3B,Two Bedrooms,0,.,.,.,.,.
EC3B,Three Bedrooms,0,.,.,.,.,.
EC3B,Four or More Bedrooms,0,.,.,.,.,.
EC3M,Room,0,.,.,.,.,.
EC3M,Studio,0,.,.,.,.,.
EC3M,One Bedroom,0,.,.,.,.,.
EC3M,Two Bedrooms,0,.,.,.,.,.
EC3M,Three Bedrooms,0,.,.,.,.,.
EC3M,Four or More Bedrooms,0,.,.,.,.,.
EC3N,Room,0,.,.,.,.,.
EC3N,Studio,0,.,.,.,.,.
EC3N,One Bedroom,0,.,.,.,.,.
EC3N,Two Bedrooms,-,..,..,..,..,..
EC3N,Three Bedrooms,0,.,.,.,.,.
EC3N,Four or More Bedrooms,0,.,.,.,.,.
EC3P,Room,0,.,.,.,.,.
EC3P,Studio,0,.,.,.,.,.
EC3P,One Bedroom,0,.,.,.,.,.
EC3P,Two Bedrooms,0,.,.,.,.,.
EC3P,Three Bedrooms,0,.,.,.,.,.
EC3P,Four or More Bedrooms,0,.,.,.,.,.
EC3R,Room,0,.,.,.,.,.
EC3R,Studio,0,.,.,.,.,.
EC3R,One Bedroom,0,.,.,.,.,.
EC3R,Two Bedrooms,0,.,.,.,.,.
EC3R,Three Bedrooms,0,.,.,.,.,.
EC3R,Four or More Bedrooms,0,.,.,.,.,.
EC3V,Room,0,.,.,.,.,.
EC3V,Studio,0,.,.,.,.,.
EC3V,One Bedroom,0,.,.,.,.,.
EC3V,Two Bedrooms,0,.,.,.,.,.
EC3V,Three Bedrooms,0,.,.,.,.,.
EC3V,Four or More Bedrooms,0,.,.,.,.,.
EC4A,Room,0,.,.,.,.,.
EC4A,Studio,0,.,.,.,.,.
EC4A,One Bedroom,-,..,..,..,..,..
EC4A,Two Bedrooms,0,.,.,.,.,.
EC4A,Three Bedrooms,0,.,.,.,.,.
EC4A,Four or More Bedrooms,0,.,.,.,.,.
EC4M,Room,0,.,.,.,.,.
EC4M,Studio,0,.,.,.,.,.
EC4M,One Bedroom,0,.,.,.,.,.
EC4M,Two Bedrooms,0,.,.,.,.,.
EC4M,Three Bedrooms,0,.,.,.,.,.
EC4M,Four or More Bedrooms,0,.,.,.,.,.
EC4N,Room,0,.,.,.,.,.
EC4N,Studio,0,.,.,.,.,.
EC4N,One Bedroom,0,.,.,.,.,.
EC4N,Two Bedrooms,0,.,.,.,.,.
EC4N,Three Bedrooms,0,.,.,.,.,.
EC4N,Four or More Bedrooms,0,.,.,.,.,.
EC4P,Room,0,.,.,.,.,.
EC4P,Studio,0,.,.,.,.,.
EC4P,One Bedroom,0,.,.,.,.,.
EC4P,Two Bedrooms,0,.,.,.,.,.
EC4P,Three Bedrooms,0,.,.,.,.,.
EC4P,Four or More Bedrooms,0,.,.,.,.,.
EC4R,Room,0,.,.,.,.,.
EC4R,Studio,0,.,.,.,.,.
EC4R,One Bedroom,0,.,.,.,.,.
EC4R,Two Bedrooms,0,.,.,.,.,.
EC4R,Three Bedrooms,0,.,.,.,.,.
EC4R,Four or More Bedrooms,0,.,.,.,.,.
EC4V,Room,0,.,.,.,.,.
EC4V,Studio,0,.,.,.,.,.
EC4V,One Bedroom,-,..,..,..,..,..
EC4V,Two Bedrooms,0,.,.,.,.,.
EC4V,Three Bedrooms,0,.,.,.,.,.
EC4V,Four or More Bedrooms,0,.,.,.,.,.
EC4Y,Room,0,.,.,.,.,.
EC4Y,Studio,0,.,.,.,.,.
EC4Y,One Bedroom,0,.,.,.,.,.
EC4Y,Two Bedrooms,-,..,..,..,..,..
EC4Y,Three Bedrooms,0,.,.,.,.,.
EC4Y,Four or More Bedrooms,0,.,.,.,.,.
EC50,Room,0,.,.,.,.,.
EC50,Studio,0,.,.,.,.,.
EC50,One Bedroom,0,.,.,.,.,.
EC50,Two Bedrooms,0,.,.,.,.,.
EC50,Three Bedrooms,0,.,.,.,.,.
EC50,Four or More Bedrooms,0,.,.,.,.,.
EC88,Room,0,.,.,.,.,.
EC88,Studio,0,.,.,.,.,.
EC88,One Bedroom,0,.,.,.,.,.
EC88,Two Bedrooms,0,.,.,.,.,.
EC88,Three Bedrooms,0,.,.,.,.,.
EC88,Four or More Bedrooms,0,.,.,.,.,.
EN1,Room,-,..,..,..,..,..
EN1,Studio,10,809,775,800,830,850
EN1,One Bedroom,70,967,900,925,950,"1,050"
EN1,Two Bedrooms,80,"1,272","1,200","1,200","1,275","1,350"
EN1,Three Bedrooms,30,"1,545","1,425","1,500","1,500","1,650"
EN1,Four or More Bedrooms,10,"2,081","1,800","1,800","2,200","2,225"
EN2,Room,0,.,.,.,.,.
EN2,Studio,10,776,740,740,775,775
EN2,One Bedroom,30,"1,002",950,950,"1,000","1,050"
EN2,Two Bedrooms,70,"1,337","1,250","1,250","1,300","1,425"
EN2,Three Bedrooms,30,"1,551","1,440","1,450","1,475","1,675"
EN2,Four or More Bedrooms,10,"2,083","1,650","1,725","1,950","2,200"
EN3,Room,0,.,.,.,.,.
EN3,Studio,-,..,..,..,..,..
EN3,One Bedroom,40,967,865,875,950,"1,100"
EN3,Two Bedrooms,50,"1,267","1,200","1,200","1,293","1,350"
EN3,Three Bedrooms,50,"1,503","1,400","1,450","1,500","1,600"
EN3,Four or More Bedrooms,10,"1,595","1,450","1,450","1,555","1,750"
EN4,Room,0,.,.,.,.,.
EN4,Studio,-,..,..,..,..,..
EN4,One Bedroom,20,"1,090","1,000","1,050","1,088","1,100"
EN4,Two Bedrooms,70,"1,261","1,122","1,150","1,250","1,350"
EN4,Three Bedrooms,20,"1,735","1,550","1,575","1,700","2,000"
EN4,Four or More Bedrooms,10,"2,195","1,650","1,825","2,175","2,300"
EN5,Room,0,.,.,.,.,.
EN5,Studio,10,814,758,767,798,850
EN5,One Bedroom,40,"1,049",960,995,"1,050","1,130"
EN5,Two Bedrooms,50,"1,316","1,200","1,200","1,300","1,420"
EN5,Three Bedrooms,10,"1,689","1,495","1,600","1,750","1,800"
EN5,Four or More Bedrooms,20,"2,349","1,977","2,100","2,350","2,450"
EN6,Room,0,.,.,.,.,.
EN6,Studio,0,.,.,.,.,.
EN6,One Bedroom,0,.,.,.,.,.
EN6,Two Bedrooms,0,.,.,.,.,.
EN6,Three Bedrooms,0,.,.,.,.,.
EN6,Four or More Bedrooms,0,.,.,.,.,.
EN7,Room,0,.,.,.,.,.
EN7,Studio,0,.,.,.,.,.
EN7,One Bedroom,0,.,.,.,.,.
EN7,Two Bedrooms,0,.,.,.,.,.
EN7,Three Bedrooms,0,.,.,.,.,.
EN7,Four or More Bedrooms,0,.,.,.,.,.
EN8,Room,0,.,.,.,.,.
EN8,Studio,0,.,.,.,.,.
EN8,One Bedroom,0,.,.,.,.,.
EN8,Two Bedrooms,0,.,.,.,.,.
EN8,Three Bedrooms,-,..,..,..,..,..
EN8,Four or More Bedrooms,0,.,.,.,.,.
EN9,Room,0,.,.,.,.,.
EN9,Studio,0,.,.,.,.,.
EN9,One Bedroom,0,.,.,.,.,.
EN9,Two Bedrooms,0,.,.,.,.,.
EN9,Three Bedrooms,0,.,.,.,.,.
EN9,Four or More Bedrooms,0,.,.,.,.,.
HA0,Room,-,..,..,..,..,..
HA0,Studio,10,877,850,850,900,925
HA0,One Bedroom,40,"1,127","1,050","1,050","1,100","1,200"
HA0,Two Bedrooms,50,"1,369","1,275","1,300","1,400","1,425"
HA0,Three Bedrooms,60,"1,819","1,700","1,725","1,800","1,850"
HA0,Four or More Bedrooms,10,"2,336","2,000","2,100","2,250","2,500"
HA1,Room,10,535,500,500,542,592
HA1,Studio,30,892,800,850,925,975
HA1,One Bedroom,40,"1,102","1,000","1,025","1,100","1,175"
HA1,Two Bedrooms,110,"1,333","1,250","1,275","1,333","1,400"
HA1,Three Bedrooms,20,"1,628","1,550","1,600","1,650","1,700"
HA1,Four or More Bedrooms,10,"1,791","1,500","1,500","1,790","2,050"
HA2,Room,0,.,.,.,.,.
HA2,Studio,10,761,700,700,763,800
HA2,One Bedroom,40,"1,043","1,000","1,000","1,050","1,115"
HA2,Two Bedrooms,60,"1,225","1,138","1,188","1,250","1,300"
HA2,Three Bedrooms,60,"1,577","1,500","1,500","1,563","1,650"
HA2,Four or More Bedrooms,20,"1,899","1,750","1,750","1,850","2,000"
HA3,Room,10,535,392,450,575,700
HA3,Studio,10,784,750,750,800,850
HA3,One Bedroom,50,977,900,900,975,"1,050"
HA3,Two Bedrooms,80,"1,290","1,200","1,200","1,281","1,350"
HA3,Three Bedrooms,120,"1,667","1,550","1,600","1,650","1,750"
HA3,Four or More Bedrooms,50,"2,060","1,800","1,800","1,900","2,200"
HA4,Room,20,605,492,525,557,742
HA4,Studio,-,..,..,..,..,..
HA4,One Bedroom,60,"1,033",950,970,"1,050","1,125"
HA4,Two Bedrooms,180,"1,245","1,175","1,200","1,250","1,350"
HA4,Three Bedrooms,60,"1,598","1,450","1,485","1,600","1,695"
HA4,Four or More Bedrooms,20,"2,044","1,800","1,800","1,900","2,500"
HA5,Room,-,..,..,..,..,..
HA5,Studio,-,..,..,..,..,..
HA5,One Bedroom,20,"1,027",950,975,"1,025","1,150"
HA5,Two Bedrooms,60,"1,290","1,200","1,200","1,300","1,400"
HA5,Three Bedrooms,20,"1,676","1,375","1,475","1,650","1,800"
HA5,Four or More Bedrooms,10,"2,240","1,900","2,000","2,200","2,550"
HA6,Room,0,.,.,.,.,.
HA6,Studio,10,803,695,695,813,875
HA6,One Bedroom,30,948,850,850,925,"1,025"
HA6,Two Bedrooms,40,"1,231",950,"1,100","1,250","1,425"
HA6,Three Bedrooms,10,"1,614","1,500","1,548","1,625","1,850"
HA6,Four or More Bedrooms,10,"2,706","2,450","2,450","2,550","2,900"
HA7,Room,0,.,.,.,.,.
HA7,Studio,-,..,..,..,..,..
HA7,One Bedroom,50,"1,188","1,100","1,125","1,200","1,250"
HA7,Two Bedrooms,90,"1,496","1,350","1,350","1,450","1,600"
HA7,Three Bedrooms,50,"1,786","1,650","1,675","1,750","1,863"
HA7,Four or More Bedrooms,20,"2,365","1,950","2,000","2,300","2,500"
HA8,Room,0,.,.,.,.,.
HA8,Studio,-,..,..,..,..,..
HA8,One Bedroom,20,"1,035",975,"1,000","1,050","1,195"
HA8,Two Bedrooms,50,"1,343","1,200","1,250","1,320","1,450"
HA8,Three Bedrooms,50,"1,691","1,600","1,650","1,700","1,800"
HA8,Four or More Bedrooms,20,"2,326","1,878","1,900","2,150","2,525"
HA9,Room,10,669,600,600,608,750
HA9,Studio,10,962,850,850,"1,000","1,100"
HA9,One Bedroom,30,"1,092","1,000","1,000","1,050","1,148"
HA9,Two Bedrooms,80,"1,413","1,300","1,350","1,400","1,500"
HA9,Three Bedrooms,30,"1,765","1,650","1,690","1,738","1,825"
HA9,Four or More Bedrooms,20,"2,094","1,900","1,900","1,975","2,100"
IG1,Room,10,"1,465","1,213","1,289","1,441","1,668"
IG1,Studio,10,764,651,700,750,850
IG1,One Bedroom,40,"1,007",938,950,"1,000","1,100"
IG1,Two Bedrooms,60,"1,257","1,200","1,200","1,250","1,343"
IG1,Three Bedrooms,30,"1,606","1,450","1,473","1,600","1,750"
IG1,Four or More Bedrooms,10,"2,044","1,850","1,850","1,900","2,000"
IG11,Room,10,"1,035",692,692,792,"1,365"
IG11,Studio,10,809,800,800,850,850
IG11,One Bedroom,100,"1,025",950,960,"1,019","1,100"
IG11,Two Bedrooms,100,"1,275","1,175","1,200","1,250","1,350"
IG11,Three Bedrooms,50,"1,572","1,500","1,500","1,550","1,650"
IG11,Four or More Bedrooms,10,"1,747","1,625","1,650","1,782","1,900"
IG2,Room,0,.,.,.,.,.
IG2,Studio,10,796,676,676,800,926
IG2,One Bedroom,30,"1,030",935,950,"1,050","1,125"
IG2,Two Bedrooms,40,"1,249","1,150","1,175","1,225","1,350"
IG2,Three Bedrooms,30,"1,634","1,550","1,600","1,650","1,710"
IG2,Four or More Bedrooms,10,"2,150","1,900","1,900","2,175","2,400"
IG3,Room,-,..,..,..,..,..
IG3,Studio,10,746,620,672,771,781
IG3,One Bedroom,30,936,860,875,900,"1,000"
IG3,Two Bedrooms,20,"1,228","1,195","1,200","1,200","1,250"
IG3,Three Bedrooms,20,"1,558","1,500","1,500","1,563","1,650"
IG3,Four or More Bedrooms,10,"1,998","1,850","1,850","1,950","2,200"
IG4,Room,-,..,..,..,..,..
IG4,Studio,-,..,..,..,..,..
IG4,One Bedroom,-,..,..,..,..,..
IG4,Two Bedrooms,10,"1,235","1,100","1,100","1,300","1,300"
IG4,Three Bedrooms,0,.,.,.,.,.
IG4,Four or More Bedrooms,0,.,.,.,.,.
IG5,Room,10,592,592,592,592,592
IG5,Studio,0,.,.,.,.,.
IG5,One Bedroom,-,..,..,..,..,..
IG5,Two Bedrooms,-,..,..,..,..,..
IG5,Three Bedrooms,-,..,..,..,..,..
IG5,Four or More Bedrooms,10,"1,925","1,640","1,650","1,798","2,225"
IG6,Room,-,..,..,..,..,..
IG6,Studio,-,..,..,..,..,..
IG6,One Bedroom,30,993,890,890,975,"1,075"
IG6,Two Bedrooms,40,"1,231","1,150","1,150","1,200","1,300"
IG6,Three Bedrooms,40,"1,520","1,433","1,450","1,588","1,650"
IG6,Four or More Bedrooms,10,"1,942","1,650","1,650","1,775","2,100"
IG7,Room,-,..,..,..,..,..
IG7,Studio,0,.,.,.,.,.
IG7,One Bedroom,10,965,850,850,975,"1,050"
IG7,Two Bedrooms,10,"1,339","1,295","1,300","1,375","1,430"
IG7,Three Bedrooms,10,"1,473","1,400","1,400","1,475","1,600"
IG7,Four or More Bedrooms,-,..,..,..,..,..
IG8,Room,-,..,..,..,..,..
IG8,Studio,-,..,..,..,..,..
IG8,One Bedroom,20,"1,042",950,"1,000","1,100","1,100"
IG8,Two Bedrooms,60,"1,334","1,200","1,225","1,287","1,400"
IG8,Three Bedrooms,50,"1,589","1,450","1,500","1,600","1,650"
IG8,Four or More Bedrooms,20,"1,967","1,780","1,800","1,900","2,100"
IG9,Room,0,.,.,.,.,.
IG9,Studio,0,.,.,.,.,.
IG9,One Bedroom,-,..,..,..,..,..
IG9,Two Bedrooms,-,..,..,..,..,..
IG9,Three Bedrooms,0,.,.,.,.,.
IG9,Four or More Bedrooms,0,.,.,.,.,.
KT1,Room,80,500,476,476,492,542
KT1,Studio,10,848,850,850,891,900
KT1,One Bedroom,30,"1,171","1,050","1,050","1,100","1,200"
KT1,Two Bedrooms,50,"1,433","1,250","1,275","1,350","1,550"
KT1,Three Bedrooms,10,"1,848","1,650","1,695","1,755","2,000"
KT1,Four or More Bedrooms,20,"2,120","1,850","1,900","2,200","2,250"
KT17,Room,0,.,.,.,.,.
KT17,Studio,0,.,.,.,.,.
KT17,One Bedroom,0,.,.,.,.,.
KT17,Two Bedrooms,0,.,.,.,.,.
KT17,Three Bedrooms,-,..,..,..,..,..
KT17,Four or More Bedrooms,0,.,.,.,.,.
KT18,Room,0,.,.,.,.,.
KT18,Studio,0,.,.,.,.,.
KT18,One Bedroom,0,.,.,.,.,.
KT18,Two Bedrooms,0,.,.,.,.,.
KT18,Three Bedrooms,0,.,.,.,.,.
KT18,Four or More Bedrooms,0,.,.,.,.,.
KT19,Room,0,.,.,.,.,.
KT19,Studio,0,.,.,.,.,.
KT19,One Bedroom,0,.,.,.,.,.
KT19,Two Bedrooms,0,.,.,.,.,.
KT19,Three Bedrooms,0,.,.,.,.,.
KT19,Four or More Bedrooms,0,.,.,.,.,.
KT2,Room,20,551,525,548,550,575
KT2,Studio,-,..,..,..,..,..
KT2,One Bedroom,40,"1,149","1,090","1,100","1,150","1,249"
KT2,Two Bedrooms,70,"1,484","1,300","1,350","1,400","1,500"
KT2,Three Bedrooms,50,"1,888","1,700","1,750","1,875","2,050"
KT2,Four or More Bedrooms,20,"2,526","1,800","1,925","2,300","2,750"
KT22,Room,0,.,.,.,.,.
KT22,Studio,0,.,.,.,.,.
KT22,One Bedroom,0,.,.,.,.,.
KT22,Two Bedrooms,0,.,.,.,.,.
KT22,Three Bedrooms,0,.,.,.,.,.
KT22,Four or More Bedrooms,0,.,.,.,.,.
KT3,Room,0,.,.,.,.,.
KT3,Studio,-,..,..,..,..,..
KT3,One Bedroom,20,"1,085","1,000","1,000","1,050","1,125"
KT3,Two Bedrooms,40,"1,275","1,150","1,200","1,268","1,400"
KT3,Three Bedrooms,30,"1,697","1,475","1,500","1,700","1,950"
KT3,Four or More Bedrooms,20,"2,312","2,000","2,100","2,400","2,500"
KT4,Room,0,.,.,.,.,.
KT4,Studio,0,.,.,.,.,.
KT4,One Bedroom,20,931,865,875,900,"1,000"
KT4,Two Bedrooms,20,"1,292","1,225","1,225","1,275","1,400"
KT4,Three Bedrooms,20,"1,567","1,500","1,500","1,525","1,650"
KT4,Four or More Bedrooms,10,"1,965","1,750","1,800","1,900","2,266"
KT5,Room,10,400,400,400,400,400
KT5,Studio,10,858,838,850,850,875
KT5,One Bedroom,30,"1,059",950,975,"1,050","1,115"
KT5,Two Bedrooms,20,"1,257","1,180","1,195","1,238","1,350"
KT5,Three Bedrooms,20,"1,708","1,550","1,600","1,750","1,850"
KT5,Four or More Bedrooms,10,"2,354","2,000","2,100","2,325","2,600"
KT6,Room,0,.,.,.,.,.
KT6,Studio,10,836,773,795,825,898
KT6,One Bedroom,50,"1,101","1,000","1,000","1,100","1,200"
KT6,Two Bedrooms,90,"1,347","1,250","1,250","1,329","1,400"
KT6,Three Bedrooms,30,"1,567","1,313","1,350","1,608","1,825"
KT6,Four or More Bedrooms,10,"2,383","2,000","2,000","2,200","2,500"
KT7,Room,0,.,.,.,.,.
KT7,Studio,0,.,.,.,.,.
KT7,One Bedroom,0,.,.,.,.,.
KT7,Two Bedrooms,0,.,.,.,.,.
KT7,Three Bedrooms,0,.,.,.,.,.
KT7,Four or More Bedrooms,0,.,.,.,.,.
KT8,Room,0,.,.,.,.,.
KT8,Studio,0,.,.,.,.,.
KT8,One Bedroom,0,.,.,.,.,.
KT8,Two Bedrooms,-,..,..,..,..,..
KT8,Three Bedrooms,0,.,.,.,.,.
KT8,Four or More Bedrooms,-,..,..,..,..,..
KT9,Room,10,507,500,500,500,500
KT9,Studio,0,.,.,.,.,.
KT9,One Bedroom,10,929,895,895,950,975
KT9,Two Bedrooms,10,"1,234","1,175","1,250","1,275","1,313"
KT9,Three Bedrooms,10,"1,554","1,400","1,415","1,500","1,750"
KT9,Four or More Bedrooms,-,..,..,..,..,..
N1,Room,0,.,.,.,.,.
N1,Studio,10,"1,348","1,213","1,213","1,300","1,452"
N1,One Bedroom,130,"1,663","1,500","1,517","1,650","1,798"
N1,Two Bedrooms,120,"2,149","1,863","1,903","2,112","2,415"
N1,Three Bedrooms,30,"2,797","2,375","2,560","2,817","3,012"
N1,Four or More Bedrooms,10,"3,499","3,265","3,358","3,451","3,706"
N10,Room,0,.,.,.,.,.
N10,Studio,-,..,..,..,..,..
N10,One Bedroom,40,"1,291","1,200","1,200","1,300","1,400"
N10,Two Bedrooms,90,"1,530","1,332","1,350","1,450","1,600"
N10,Three Bedrooms,30,"1,853","1,528","1,550","1,900","2,100"
N10,Four or More Bedrooms,30,"2,029","1,572","1,603","1,700","2,100"
N11,Room,0,.,.,.,.,.
N11,Studio,-,..,..,..,..,..
N11,One Bedroom,30,"1,139","1,049","1,050","1,150","1,200"
N11,Two Bedrooms,50,"1,316","1,207","1,250","1,333","1,400"
N11,Three Bedrooms,20,"1,593","1,350","1,450","1,550","1,800"
N11,Four or More Bedrooms,10,"2,205","1,950","1,975","2,125","2,350"
N12,Room,0,.,.,.,.,.
N12,Studio,10,984,950,950,975,"1,065"
N12,One Bedroom,60,"1,166","1,125","1,148","1,153","1,230"
N12,Two Bedrooms,140,"1,423","1,300","1,300","1,400","1,523"
N12,Three Bedrooms,40,"1,794","1,615","1,700","1,800","1,950"
N12,Four or More Bedrooms,10,"2,367","2,125","2,150","2,425","2,600"
N13,Room,0,.,.,.,.,.
N13,Studio,10,846,800,800,925,950
N13,One Bedroom,10,"1,126","1,050","1,075","1,100","1,200"
N13,Two Bedrooms,20,"1,381","1,249","1,250","1,375","1,475"
N13,Three Bedrooms,-,..,..,..,..,..
N13,Four or More Bedrooms,10,"2,282","2,200","2,200","2,350","2,508"
N14,Room,0,.,.,.,.,.
N14,Studio,-,..,..,..,..,..
N14,One Bedroom,20,"1,117","1,073","1,075","1,100","1,190"
N14,Two Bedrooms,50,"1,322","1,250","1,250","1,300","1,375"
N14,Three Bedrooms,20,"1,851","1,650","1,675","1,750","2,100"
N14,Four or More Bedrooms,10,"2,319","2,000","2,000","2,250","2,400"
N15,Room,-,..,..,..,..,..
N15,Studio,-,..,..,..,..,..
N15,One Bedroom,10,"1,077",921,931,"1,025","1,200"
N15,Two Bedrooms,10,"1,381","1,300","1,350","1,400","1,450"
N15,Three Bedrooms,10,"2,520","2,500","2,500","2,500","2,500"
N15,Four or More Bedrooms,-,..,..,..,..,..
N16,Room,-,..,..,..,..,..
N16,Studio,10,998,875,900,955,"1,100"
N16,One Bedroom,150,"1,321","1,225","1,250","1,300","1,408"
N16,Two Bedrooms,130,"1,676","1,500","1,550","1,650","1,750"
N16,Three Bedrooms,50,"2,319","2,030","2,100","2,210","2,600"
N16,Four or More Bedrooms,30,"2,967","2,600","2,800","3,000","3,293"
N17,Room,-,..,..,..,..,..
N17,Studio,10,875,865,865,871,891
N17,One Bedroom,10,"1,148","1,050","1,050","1,100","1,275"
N17,Two Bedrooms,10,"1,325","1,090","1,090","1,300","1,425"
N17,Three Bedrooms,-,..,..,..,..,..
N17,Four or More Bedrooms,-,..,..,..,..,..
N18,Room,0,.,.,.,.,.
N18,Studio,-,..,..,..,..,..
N18,One Bedroom,10,998,850,860,925,"1,150"
N18,Two Bedrooms,10,"1,259","1,104","1,200","1,300","1,400"
N18,Three Bedrooms,10,"1,389","1,073","1,073","1,500","1,600"
N18,Four or More Bedrooms,-,..,..,..,..,..
N19,Room,0,.,.,.,.,.
N19,Studio,10,"1,099",950,961,"1,050","1,127"
N19,One Bedroom,30,"1,301","1,238","1,275","1,300","1,399"
N19,Two Bedrooms,30,"1,622","1,430","1,500","1,600","1,777"
N19,Three Bedrooms,10,"2,235","2,190","2,190","2,200","2,275"
N19,Four or More Bedrooms,-,..,..,..,..,..
N1C,Room,0,.,.,.,.,.
N1C,Studio,0,.,.,.,.,.
N1C,One Bedroom,-,..,..,..,..,..
N1C,Two Bedrooms,-,..,..,..,..,..
N1C,Three Bedrooms,0,.,.,.,.,.
